GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US48,48,Texas,54727,165
320M300US4810180,4810180,"Abilene, TX Metro Area; Texas",46473,1571
320M300US4810860,4810860,"Alice, TX Micro Area; Texas",43321,5680
320M300US4811100,4811100,"Amarillo, TX Metro Area; Texas",51672,940
320M300US4811380,4811380,"Andrews, TX Micro Area; Texas",70121,7053
320M300US4811980,4811980,"Athens, TX Micro Area; Texas",43434,1511
320M300US4812420,4812420,"Austin-Round Rock, TX Metro Area; Texas",66093,508
320M300US4813060,4813060,"Bay City, TX Micro Area; Texas",41253,3323
320M300US4813140,4813140,"Beaumont-Port Arthur, TX Metro Area; Texas",47170,927
320M300US4813300,4813300,"Beeville, TX Micro Area; Texas",44005,3595
320M300US4813700,4813700,"Big Spring, TX Micro Area; Texas",51219,1983
320M300US4814300,4814300,"Bonham, TX Micro Area; Texas",45471,2917
320M300US4814420,4814420,"Borger, TX Micro Area; Texas",50114,2716
320M300US4814780,4814780,"Brenham, TX Micro Area; Texas",52718,3927
320M300US4815180,4815180,"Brownsville-Harlingen, TX Metro Area; Texas",34578,1003
320M300US4815220,4815220,"Brownwood, TX Micro Area; Texas",43235,2221
320M300US4817780,4817780,"College Station-Bryan, TX Metro Area; Texas",42948,1476
320M300US4818580,4818580,"Corpus Christi, TX Metro Area; Texas",51675,881
320M300US4818620,4818620,"Corsicana, TX Micro Area; Texas",43388,2182
320M300US4819100,4819100,"Dallas-Fort Worth-Arlington, TX Metro Area; Texas",61330,268
320M300US4819620,4819620,"Del Rio, TX Micro Area; Texas",44170,2428
320M300US4820300,4820300,"Dumas, TX Micro Area; Texas",50552,2828
320M300US4820580,4820580,"Eagle Pass, TX Micro Area; Texas",37155,2462
320M300US4820900,4820900,"El Campo, TX Micro Area; Texas",46445,3229
320M300US4821340,4821340,"El Paso, TX Metro Area; Texas",42023,673
320M300US4823240,4823240,"Fredericksburg, TX Micro Area; Texas",55850,4205
320M300US4823620,4823620,"Gainesville, TX Micro Area; Texas",56269,3421
320M300US4825820,4825820,"Hereford, TX Micro Area; Texas",47219,3679
320M300US4826420,4826420,"Houston-The Woodlands-Sugar Land, TX Metro Area; Texas",60902,303
320M300US4826660,4826660,"Huntsville, TX Micro Area; Texas",38796,1766
320M300US4827380,4827380,"Jacksonville, TX Micro Area; Texas",40769,1475
320M300US4828500,4828500,"Kerrville, TX Micro Area; Texas",44261,2597
320M300US4828660,4828660,"Killeen-Temple, TX Metro Area; Texas",51169,654
320M300US4828780,4828780,"Kingsville, TX Micro Area; Texas",41280,2977
320M300US4829500,4829500,"Lamesa, TX Micro Area; Texas",42354,3581
320M300US4829700,4829700,"Laredo, TX Metro Area; Texas",38711,1204
320M300US4830220,4830220,"Levelland, TX Micro Area; Texas",50331,2918
320M300US4830980,4830980,"Longview, TX Metro Area; Texas",47301,1234
320M300US4831180,4831180,"Lubbock, TX Metro Area; Texas",46632,669
320M300US4831260,4831260,"Lufkin, TX Micro Area; Texas",44185,2107
320M300US4832220,4832220,"Marshall, TX Micro Area; Texas",46230,2767
320M300US4832580,4832580,"McAllen-Edinburg-Mission, TX Metro Area; Texas",36094,765
320M300US4833260,4833260,"Midland, TX Metro Area; Texas",71181,2424
320M300US4833420,4833420,"Mineral Wells, TX Micro Area; Texas",42824,3327
320M300US4834420,4834420,"Mount Pleasant, TX Micro Area; Texas",45026,2252
320M300US4834860,4834860,"Nacogdoches, TX Micro Area; Texas",38915,2010
320M300US4836220,4836220,"Odessa, TX Metro Area; Texas",58335,3083
320M300US4837300,4837300,"Palestine, TX Micro Area; Texas",42146,2539
320M300US4837420,4837420,"Pampa, TX Micro Area; Texas",45264,3497
320M300US4837580,4837580,"Paris, TX Micro Area; Texas",40283,1934
320M300US4837780,4837780,"Pecos, TX Micro Area; Texas",46464,4684
320M300US4838380,4838380,"Plainview, TX Micro Area; Texas",44995,2380
320M300US4838920,4838920,"Port Lavaca, TX Micro Area; Texas",54167,6295
320M300US4839700,4839700,"Raymondville, TX Micro Area; Texas",28817,2404
320M300US4840100,4840100,"Rio Grande City, TX Micro Area; Texas",26682,1762
320M300US4841660,4841660,"San Angelo, TX Metro Area; Texas",47907,1774
320M300US4841700,4841700,"San Antonio-New Braunfels, TX Metro Area; Texas",54638,462
320M300US4843300,4843300,"Sherman-Denison, TX Metro Area; Texas",50212,1503
320M300US4843660,4843660,"Snyder, TX Micro Area; Texas",55661,5117
320M300US4844500,4844500,"Stephenville, TX Micro Area; Texas",42492,2087
320M300US4844860,4844860,"Sulphur Springs, TX Micro Area; Texas",45748,3375
320M300US4845020,4845020,"Sweetwater, TX Micro Area; Texas",38411,2566
320M300US4845500,4845500,"Texarkana, TX-AR Metro Area (part); Texas",42683,1620
320M300US4846340,4846340,"Tyler, TX Metro Area; Texas",48683,1775
320M300US4846620,4846620,"Uvalde, TX Micro Area; Texas",39011,3144
320M300US4846900,4846900,"Vernon, TX Micro Area; Texas",43635,5021
320M300US4847020,4847020,"Victoria, TX Metro Area; Texas",54671,2471
320M300US4847380,4847380,"Waco, TX Metro Area; Texas",43778,1402
320M300US4848660,4848660,"Wichita Falls, TX Metro Area; Texas",46043,1226
320M300US4849820,4849820,"Zapata, TX Micro Area; Texas",36976,5406
